symbol,entry_time,exit_time,entry_price,exit_price,size,pnl,confluence
EURUSD,2003-05-20T07:00:00+00:00,2003-05-20T10:00:00+00:00,1.16433,1.16054,20245.6005,76.73083,
EURUSD,2003-05-20T07:00:00+00:00,2003-05-20T11:00:00+00:00,1.16433,1.16277,6748.5335,10.52771,
EURUSD,2003-05-20T10:00:00+00:00,2003-05-20T11:00:00+00:00,1.16210,1.16422,35379.3237,75.00417,
EURUSD,2003-05-20T10:00:00+00:00,2003-05-20T11:00:00+00:00,1.16210,1.16210,11793.1079,0.00000,
EURUSD,2003-05-20T08:00:00+00:00,2003-05-20T16:00:00+00:00,1.16156,1.16812,15127.7815,-99.23825,
EURUSD,2003-05-20T09:00:00+00:00,2003-05-20T16:00:00+00:00,1.16062,1.16812,13231.7662,-99.23825,
EURUSD,2003-05-20T15:00:00+00:00,2003-05-20T16:00:00+00:00,1.16466,1.16812,29150.5416,-100.86087,
EURUSD,2003-05-20T11:00:00+00:00,2003-05-20T17:00:00+00:00,1.16543,1.17088,13879.9368,75.64566,
EURUSD,2003-05-20T11:00:00+00:00,2003-05-20T18:00:00+00:00,1.16543,1.16757,4626.6456,9.90102,
EURUSD,2003-05-16T19:00:00+00:00,2003-05-20T23:00:00+00:00,1.15746,1.17358,4653.0582,75.00730,
EURUSD,2003-05-19T12:00:00+00:00,2003-05-20T23:00:00+00:00,1.16637,1.17353,14362.6669,-102.83670,
EURUSD,2003-05-16T19:00:00+00:00,2003-05-21T00:00:00+00:00,1.15746,1.17183,1551.0194,22.28815,
EURUSD,2003-05-21T07:00:00+00:00,2003-05-21T11:00:00+00:00,1.17114,1.16973,69976.9890,-98.66755,
EURUSD,2003-05-21T10:00:00+00:00,2003-05-21T11:00:00+00:00,1.17105,1.16981,59677.9563,74.00067,
EURUSD,2003-05-21T10:00:00+00:00,2003-05-21T11:00:00+00:00,1.17105,1.17105,19892.6521,0.00000,
EURUSD,2003-05-21T11:00:00+00:00,2003-05-21T12:00:00+00:00,1.17065,1.16845,33552.5746,73.81566,
EURUSD,2003-05-21T11:00:00+00:00,2003-05-21T12:00:00+00:00,1.17065,1.17065,11184.1915,0.00000,
EURUSD,2003-05-21T06:00:00+00:00,2003-05-21T13:00:00+00:00,1.17046,1.16655,18926.0015,74.00067,
EURUSD,2003-05-21T06:00:00+00:00,2003-05-21T14:00:00+00:00,1.17046,1.16898,6308.6672,9.33683,
EURUSD,2003-05-21T12:00:00+00:00,2003-05-21T14:00:00+00:00,1.16839,1.17285,22232.9691,-99.15904,
EURUSD,2003-05-21T14:00:00+00:00,2003-05-21T21:00:00+00:00,1.17281,1.16610,14754.2216,-99.00083,
EURUSD,2003-05-20T21:00:00+00:00,2003-05-21T22:00:00+00:00,1.17048,1.16294,13093.2317,-98.72297,
EURUSD,2003-05-20T22:00:00+00:00,2003-05-21T22:00:00+00:00,1.17113,1.16294,12054.0863,-98.72297,
EURUSD,2003-05-22T06:00:00+00:00,2003-05-22T07:00:00+00:00,1.16386,1.16243,50368.7198,72.02727,
EURUSD,2003-05-22T06:00:00+00:00,2003-05-22T07:00:00+00:00,1.16386,1.16386,16789.5733,0.00000,
EURUSD,2003-05-22T07:00:00+00:00,2003-05-22T09:00:00+00:00,1.16325,1.16575,38702.6527,-96.75663,
EURUSD,2003-05-22T08:00:00+00:00,2003-05-22T09:00:00+00:00,1.16438,1.16695,28236.3712,72.56747,
EURUSD,2003-05-22T08:00:00+00:00,2003-05-22T10:00:00+00:00,1.16438,1.16626,9412.1237,17.69479,
EURUSD,2003-05-21T21:00:00+00:00,2003-05-22T11:00:00+00:00,1.16350,1.16824,20677.3879,-98.01082,
EURUSD,2003-05-22T02:00:00+00:00,2003-05-22T13:00:00+00:00,1.16269,1.17174,10611.7524,-96.03636,
EURUSD,2003-05-22T09:00:00+00:00,2003-05-22T13:00:00+00:00,1.16691,1.17201,14193.3442,72.38606,
EURUSD,2003-05-22T09:00:00+00:00,2003-05-22T14:00:00+00:00,1.16691,1.17050,4731.1147,16.98470,
EURUSD,2003-05-22T21:00:00+00:00,2003-05-23T00:00:00+00:00,1.16991,1.16789,47348.9723,-95.64492,
EURUSD,2003-05-22T16:00:00+00:00,2003-05-23T01:00:00+00:00,1.16966,1.16705,36645.5647,-95.64492,
EURUSD,2003-05-23T02:00:00+00:00,2003-05-23T06:00:00+00:00,1.16820,1.16638,51501.1129,-93.73203,
EURUSD,2003-05-19T01:00:00+00:00,2003-05-23T09:00:00+00:00,1.16793,1.17650,9028.8055,77.37686,
EURUSD,2003-05-19T02:00:00+00:00,2003-05-23T09:00:00+00:00,1.16892,1.17848,8152.2164,77.93519,
EURUSD,2003-05-20T16:00:00+00:00,2003-05-23T09:00:00+00:00,1.16845,1.17692,8665.9534,73.40063,
EURUSD,2003-05-22T10:00:00+00:00,2003-05-23T09:00:00+00:00,1.16754,1.17327,12655.9801,72.51877,
EURUSD,2003-05-22T15:00:00+00:00,2003-05-23T09:00:00+00:00,1.16799,1.17266,20480.7118,-95.64492,
EURUSD,2003-05-22T18:00:00+00:00,2003-05-23T09:00:00+00:00,1.16988,1.17494,14176.6192,71.73369,
EURUSD,2003-05-23T00:00:00+00:00,2003-05-23T09:00:00+00:00,1.16786,1.17223,21667.8432,-94.68847,
EURUSD,2003-05-23T01:00:00+00:00,2003-05-23T09:00:00+00:00,1.16696,1.17223,17785.9631,-93.73203,
EURUSD,2003-05-19T01:00:00+00:00,2003-05-23T10:00:00+00:00,1.16793,1.17835,3009.6018,31.36005,
EURUSD,2003-05-19T02:00:00+00:00,2003-05-23T10:00:00+00:00,1.16892,1.17835,2717.4055,25.62513,
EURUSD,2003-05-20T16:00:00+00:00,2003-05-23T10:00:00+00:00,1.16845,1.17835,2888.6511,28.59765,
EURUSD,2003-05-22T10:00:00+00:00,2003-05-23T10:00:00+00:00,1.16754,1.17835,4218.6600,45.60372,
EURUSD,2003-05-22T18:00:00+00:00,2003-05-23T10:00:00+00:00,1.16988,1.17835,4725.5397,40.02532,
EURUSD,2003-05-20T19:00:00+00:00,2003-05-23T17:00:00+00:00,1.17067,1.18136,6926.3073,74.04223,
EURUSD,2003-05-20T19:00:00+00:00,2003-05-23T18:00:00+00:00,1.17067,1.17969,2308.7691,20.82510,
